id,estado,motivo,dimensiones_normalizada,guardada,frente_detectado,espalda_detectada
AIM-P055-040.jpg,ok,"logo separado de bloque ancho x[16:132] | frente/espalda fusionados, separados en x=456",621x403,ok-saved,si,si
AIM-P055-041.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",563x358,ok-saved,si,si
AIM-P055-042.jpg,ok,"logo separado de bloque ancho x[15:117] | frente/espalda fusionados, separados en x=400",562x355,ok-saved,si,si
AIM-P055-043.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",553x353,ok-saved,si,si
AIM-P055-044.jpg,ok,"logo separado de bloque ancho x[14:117] | frente/espalda fusionados, separados en x=396",562x354,ok-saved,si,si
AIM-P055-045.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",545x352,ok-saved,si,si
AIM-P055-046.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",547x352,ok-saved,si,si
AIM-P055-047.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P055-048.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",548x352,ok-saved,si,si
AIM-P055-049.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=396",543x352,ok-saved,si,si
AIM-P055-050.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=399",555x352,ok-saved,si,si
AIM-P055-051.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P055-052.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",549x352,ok-saved,si,si
AIM-P055-053.jpg,ok,"logo separado de bloque ancho x[14:116] | frente/espalda fusionados, separados en x=399",548x353,ok-saved,si,si
AIM-P055-054.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",545x352,ok-saved,si,si
AIM-P055-055.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",547x352,ok-saved,si,si
AIM-P055-056.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",556x352,ok-saved,si,si
AIM-P055-057.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=392",556x353,ok-saved,si,si
AIM-P055-058.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",551x353,ok-saved,si,si
AIM-P055-059.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",550x352,ok-saved,si,si
AIM-P055-060.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",563x353,ok-saved,si,si
AIM-P056-001.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",553x351,ok-saved,si,si
AIM-P056-002.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=396",546x353,ok-saved,si,si
AIM-P056-003.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",546x352,ok-saved,si,si
AIM-P056-004.jpg,ok,"logo separado de bloque ancho x[14:115] | frente/espalda fusionados, separados en x=397",545x353,ok-saved,si,si
AIM-P056-005.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=376",551x352,ok-saved,si,si
AIM-P056-006.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",554x289,ok-saved,si,si
AIM-P056-007.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P056-008.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=393",549x352,ok-saved,si,si
AIM-P056-009.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=389",552x353,ok-saved,si,si
AIM-P056-010.jpg,ok,"logo separado de bloque ancho x[16:132] | frente/espalda fusionados, separados en x=456",623x403,ok-saved,si,si
AIM-P056-011.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",549x352,ok-saved,si,si
AIM-P056-012.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",552x352,ok-saved,si,si
AIM-P056-013.jpg,ok,"logo separado de bloque ancho x[4:108] | frente/espalda fusionados, separados en x=397",558x363,ok-saved,si,si
